X_mean;Y_mean;Z_mean;X_var;Y_var;Z_var;cod_instalacao
14,7529412;25,1635289;-3,027058844;594,4909672;317,1172329;61,05935306;410262234
-34,04333289;2,143333311;-23,53999983;594,20799;71,68015173;90,73905796;420048447
13,45043474;2,413043478;0,845217452;590,0971373;111,2622381;49,25778546;411451993
-15,03906208;2,969284812;19,94761351;587,3650462;28,01790242;121,4018063;420442796
-64,12749904;42,89749958;56,32499929;583,0907247;81,033649;244,8986796;410720281
1,30666647;34,34888874;-9,344444203;579,7709327;2,321825991;34,22591593;420027619
11,56263144;5,505789391;27,92526259;578,711635;28,33130535;1231,821616;414100694
27,1327271;3,005454415;0,934545567;578,5953124;165,2605519;280,8220483;413313106
59,54588165;24,34705858;16,26352927;577,6764722;27,77318131;74,54453789;410434840
22,26612227;-6,241224316;20,63510191;577,0290242;59,38612119;78,50472523;412157501
22,19657129;3,212571399;22,63714257;570,4515284;39,07362456;6,508074094;413608265
10,42461501;2,881538401;-4,296923113;568,3794743;21,71908088;253,6060894;414504081
-22,59999967;0,036666647;-1,261666681;563,2002384;40,88021587;58,88869317;420775588
58,44071555;-13,90729456;8,875583526;562,0314944;478,152459;86,00451821;420599521
24,56399959;-3,387428494;1,302856914;561,4011793;2740,415041;792,3793748;414804293
-10,78352918;13,78705858;-9,632941003;560,9403258;363,4538752;816,6492183;413694244
6,066923065;4,13307688;-8,282307542;560,8630905;31,64466959;116,4520712;412680413
19,51764682;63,58823433;4,057646565;551,5649554;1471,869189;2985,50762;430229894
-1,481999993;12,85999993;0,43599998;526,308598;8,75056516;45,69366565;430167047
-38,32153796;-7,583076965;7,829999837;520,6327832;253,8135493;55,03802231;430254806
-25,49647024;8,030588086;14,87999975;519,8944881;811,9637488;402,9230729;420026530
14,48454552;11,69727264;15,74999976;518,8586189;54,47570486;120,9283695;414060166
-12,70421032;19,60421005;-27,60947316;516,3147251;107,6443338;28,73610559;420542090
3,4488;13,01039988;14,01119974;511,3854304;14,68280456;46,36203404;420475858
10,68588225;21,79411728;5,984705786;507,6103999;163,3253141;58,88892017;412298957
3,337499833;14,96749983;-4,809999868;503,5738741;6,743889406;13,10514703;413764157
18,60193526;-13,80193542;8,020645019;500,875062;512,1565037;34,46049163;414017290
-14,75999978;-151,39714;232,2278546;496,8583856;41342,29879;89514,85979;412038851
5,579999889;28,27999961;-36,03999928;494,6378766;24,32075105;417,4327054;430021394
0,969230796;14,68615372;5,930769085;493,0656915;112,4744556;17,03338239;414135482
-28,87909035;11,2336361;-36,02727268;490,3554244;17,73563254;189,3191069;410414712
14,62173913;12,63130413;-4,565217384;490,1535527;18,32362933;17,83077149;411451998
42,67176394;9,707058688;15,16470549;489,3986843;56,3594834;77,2628858;412335170
6,186666706;11,28999981;13,25666656;488,8164068;33,39921044;362,7044321;414109238
6,213157853;6,803684026;21,74684179;484,8514354;10,09119649;25,05963774;412017618
-21,98197025;-7,900628961;15,46799253;484,2440504;24,86035569;235,4386515;414234235
-14,45733331;1,955999964;13,92133316;478,7862472;4,040738037;206,3206552;414056034
26,43130398;5,536956421;1,228695627;474,9327428;27,78762474;12,58763788;412026751
13,03529387;2,610588162;-8,304705751;474,0416277;54,45509137;290,7625045;413570737
14,91257093;0,779999946;10,70399981;470,761026;118,4304678;119,1157806;414922317
-1,815294078;-1,36470588;-6,17176451;470,6710215;22,56837685;307,9238346;411968676
23,03384606;22,34461508;-5,347692187;470,2816031;2,581335963;33,78641172;412603721
-10,29798649;-21,12693529;10,74066785;469,8897981;15,66558773;115,1467425;421165530
5,4719998;9,147999903;12,6499998;467,6626782;9,22636075;2,753647593;430217403
35,45454532;32,60999955;8,274545395;466,8040846;208,6404775;21,09048317;420007534
7,199999958;-8,31500005;17,89999963;466,5524768;187,1195175;27,49575495;414207313
-41,01729678;13,10918903;-4,410810876;458,9758707;264,8559177;189,1487135;413551651
21,86117604;33,65411717;3,157646974;457,7720686;541,6944709;204,4670282;414342303
-1,5458823;12,75176452;4,142352805;456,0114959;132,6614872;63,90906262;414130063
40,77306049;22,63224478;7,880816171;455,8606393;10,00274693;71,57407921;411968513
3,818823451;4,223529327;12,78235275;452,4288071;420,3251998;110,2822472;413753138
